"YEAR","GENDER","NAME","COUNT"
"2015","FEMALE","A","20"
"2015","FEMALE","B","19"
"2015","FEMALE","C","18"
"2015","FEMALE","D","17"
"2015","FEMALE","E","16"
"2015","FEMALE","F","15"
"2015","FEMALE","G","14"
"2015","FEMALE","H","13"
"2015","FEMALE","I","12"
"2015","FEMALE","J","11"
"2015","FEMALE","K","10"
"2015","FEMALE","L","9"
"2015","FEMALE","M","8"
"2015","FEMALE","N","7"
"2015","FEMALE","O","6"
"2015","FEMALE","P","5"
"2015","FEMALE","Q","4"
"2015","FEMALE","R","3"
"2015","FEMALE","S","2"
"2015","FEMALE","T","1"
