"YEAR","GENDER","NAME","COUNT"
"2000","FEMALE","A","100"
"2000","FEMALE","B","90"
"2000","FEMALE","C","30"
"2000","FEMALE","D","20"
"2000","FEMALE","E","70"
"2000","FEMALE","F","40"
"2001","FEMALE","A","80"
"2001","FEMALE","B","10"
"2001","FEMALE","C","100"
"2001","FEMALE","D","30"
"2001","FEMALE","E","90"
"2001","FEMALE","F","40"
"2002","FEMALE","A","100"
"2002","FEMALE","B","80"
"2002","FEMALE","C","90"
"2002","FEMALE","D","60"
"2002","FEMALE","E","20"
"2002","FEMALE","F","70"
"2003","FEMALE","A","90"
"2003","FEMALE","B","100"
"2003","FEMALE","C","20"
"2003","FEMALE","D","80"
"2003","FEMALE","E","10"
"2003","FEMALE","F","50"
